CRT,SectorName_x,FuelName,SectorID,FuelID,SectorName_y,GNFR
,,,2600,,Non-metallic mineral industry,B
1.A.2.f,Non-metallic minerals,Biomass,2610,400,Non-metallic minerals (combustion),B
1.A.2.f,Non-metallic minerals,Gaseous fuels,2610,300,Non-metallic minerals (combustion),B
1.A.2.f,Non-metallic minerals,Liquid fuels,2610,200,Non-metallic minerals (combustion),B
1.A.2.f,Non-metallic minerals,Other fossil fuels,2610,500,Non-metallic minerals (combustion),B
1.A.2.f,Non-metallic minerals,Peat,2610,140,Non-metallic minerals (combustion),B
1.A.2.f,Non-metallic minerals,Solid fuels,2610,100,Non-metallic minerals (combustion),B
2.A.1,Cement production,,2620,0,Cement production,B
,,,2630,,Other non metallic mineral production,B
2.A.2,Lime production,,2631,0,Lime production,B
2.A.3,Glass production,,2632,0,Glass production,B
2.H.3.Glass (NMVOC emissions),Glass (NMVOC emissions),,2632,0,Glass production,B
2.A.4,Other process uses of carbonates,,2633,0,Other process uses of carbonates,B
,,,2634,,Quarrying and mining of minerals other than coal,B
,,,2635,,Construction and demolition,B
,,,2636,,Storage and handling of mineral products,B
,,,2637,,Other mineral industry,B
,,,2700,,Product use,E
,,,2710,,Solvent use,E
,,,2711,,Domestic solvent use including fungicides,E
,,,2712,,Coating applications,E
,,,2713,,Degreasing,E
,,,2714,,Dry cleaning,E
,,,2715,,Chemical products,E
,,,2716,,Printing,E
,,,2717,,Other solvent use,E
,,,2720,,Non-solvent product use,E
2.D.2,Paraffin wax use,,2721,0,Paraffin wax use,E
,,,2722,,Road paving with asphalt,B
,,,2723,,Asphalt roofing,B
2.D.1,Lubricant use,,2724,0,Other product use,E
2.D.3,Other,,2724,0,Other product use,E
2.G.3,N2O from product uses,,2724,0,Other product use,E
2.G.4,Other,,2724,0,Other product use,E
2.H.3.Fireworks,Fireworks,,2724,0,Other product use,E
2.H.3.Tobacco,Tobacco,,2724,0,Other product use,E
,,,2800,,Other industry,B
1.A.2.g.i,Manufacturing of machinery,Biomass,2810,400,Other manufacturing industry (comb),B
1.A.2.g.i,Manufacturing of machinery,Gaseous fuels,2810,300,Other manufacturing industry (comb),B
1.A.2.g.i,Manufacturing of machinery,Liquid fuels,2810,200,Other manufacturing industry (comb),B
1.A.2.g.i,Manufacturing of machinery,Other fossil fuels,2810,500,Other manufacturing industry (comb),B
1.A.2.g.i,Manufacturing of machinery,Peat,2810,140,Other manufacturing industry (comb),B
1.A.2.g.i,Manufacturing of machinery,Solid fuels,2810,100,Other manufacturing industry (comb),B
1.A.2.g.ii,Manufacturing of transport equipment,Biomass,2810,400,Other manufacturing industry (comb),B
1.A.2.g.ii,Manufacturing of transport equipment,Gaseous fuels,2810,300,Other manufacturing industry (comb),B
1.A.2.g.ii,Manufacturing of transport equipment,Liquid fuels,2810,200,Other manufacturing industry (comb),B
1.A.2.g.ii,Manufacturing of transport equipment,Other fossil fuels,2810,500,Other manufacturing industry (comb),B
1.A.2.g.ii,Manufacturing of transport equipment,Peat,2810,140,Other manufacturing industry (comb),B
1.A.2.g.ii,Manufacturing of transport equipment,Solid fuels,2810,100,Other manufacturing industry (comb),B
1.A.2.g.iii,Mining (excluding fuels) and quarrying,Biomass,2810,400,Other manufacturing industry (comb),B
1.A.2.g.iii,Mining (excluding fuels) and quarrying,Gaseous fuels,2810,300,Other manufacturing industry (comb),B
1.A.2.g.iii,Mining (excluding fuels) and quarrying,Liquid fuels,2810,200,Other manufacturing industry (comb),B
1.A.2.g.iii,Mining (excluding fuels) and quarrying,Other fossil fuels,2810,500,Other manufacturing industry (comb),B
1.A.2.g.iii,Mining (excluding fuels) and quarrying,Peat,2810,140,Other manufacturing industry (comb),B
1.A.2.g.iii,Mining (excluding fuels) and quarrying,Solid fuels,2810,100,Other manufacturing industry (comb),B
1.A.2.g.iv,Wood and wood products,Biomass,2810,400,Other manufacturing industry (comb),B
1.A.2.g.iv,Wood and wood products,Gaseous fuels,2810,300,Other manufacturing industry (comb),B
1.A.2.g.iv,Wood and wood products,Liquid fuels,2810,200,Other manufacturing industry (comb),B
1.A.2.g.iv,Wood and wood products,Other fossil fuels,2810,500,Other manufacturing industry (comb),B
1.A.2.g.iv,Wood and wood products,Peat,2810,140,Other manufacturing industry (comb),B
1.A.2.g.iv,Wood and wood products,Solid fuels,2810,100,Other manufacturing industry (comb),B
1.A.2.g.v,Construction,Biomass,2810,400,Other manufacturing industry (comb),B
1.A.2.g.v,Construction,Gaseous fuels,2810,300,Other manufacturing industry (comb),B
1.A.2.g.v,Construction,Liquid fuels,2810,200,Other manufacturing industry (comb),B
1.A.2.g.v,Construction,Other fossil fuels,2810,500,Other manufacturing industry (comb),B
1.A.2.g.v,Construction,Peat,2810,140,Other manufacturing industry (comb),B
1.A.2.g.v,Construction,Solid fuels,2810,100,Other manufacturing industry (comb),B
1.A.2.g.vi,Textile and leather,Biomass,2810,400,Other manufacturing industry (comb),B
1.A.2.g.vi,Textile and leather,Gaseous fuels,2810,300,Other manufacturing industry (comb),B
1.A.2.g.vi,Textile and leather,Liquid fuels,2810,200,Other manufacturing industry (comb),B
1.A.2.g.vi,Textile and leather,Other fossil fuels,2810,500,Other manufacturing industry (comb),B
1.A.2.g.vi,Textile and leather,Peat,2810,140,Other manufacturing industry (comb),B
1.A.2.g.vi,Textile and leather,Solid fuels,2810,100,Other manufacturing industry (comb),B
1.A.2.g.viii,Other (please specify),Biomass,2810,400,Other manufacturing industry (comb),B
